cell_id,l0,l1,d0,d1,depth,near_boundary,trials,exact_recovery_frequency,mean_seed_fraction
171,0.7062060365946075,0.7757923008216336,0.0625,0.08333333333333333,4,0,10,1.0,0.03215759131815806
172,0.7757923008216336,0.8453785650486598,0.0,0.020833333333333332,4,0,10,0.0,0.03352789782259917
173,0.7757923008216336,0.8453785650486598,0.020833333333333332,0.041666666666666664,4,0,10,0.5,0.033076719154203245
174,0.8453785650486598,0.914964829275686,0.0,0.020833333333333332,4,0,10,0.0,0.033689267581638455
175,0.8453785650486598,0.8801716971621729,0.020833333333333332,0.03125,5,0,10,0.2,0.03356425598676079
176,0.8453785650486598,0.8801716971621729,0.03125,0.041666666666666664,5,1,20,0.9,0.03263361145558061
177,0.8801716971621729,0.914964829275686,0.020833333333333332,0.03125,5,0,10,0.1,0.03258760202310827
178,0.8801716971621729,0.914964829275686,0.03125,0.041666666666666664,5,1,20,0.95,0.03385298887674377
179,0.7757923008216336,0.8105854329351467,0.041666666666666664,0.05208333333333333,5,1,20,1.0,0.03438712365504139
180,0.7757923008216336,0.8105854329351467,0.05208333333333333,0.0625,5,0,10,1.0,0.03134636667485963
181,0.8105854329351467,0.8453785650486598,0.041666666666666664,0.05208333333333333,5,1,20,1.0,0.033773415092432084
182,0.8105854329351467,0.8453785650486598,0.05208333333333333,0.0625,5,0,10,1.0,0.033688925935602174
183,0.7757923008216336,0.8453785650486598,0.0625,0.08333333333333333,4,0,10,1.0,0.03332373893946279
184,0.8453785650486598,0.8801716971621729,0.041666666666666664,0.05208333333333333,5,1,20,1.0,0.03315719327061244
185,0.8453785650486598,0.8801716971621729,0.05208333333333333,0.0625,5,0,10,1.0,0.032821768808742366
186,0.8801716971621729,0.914964829275686,0.041666666666666664,0.05208333333333333,5,0,10,1.0,0.03407081799466206
187,0.8801716971621729,0.914964829275686,0.05208333333333333,0.0625,5,0,10,1.0,0.032400678150010985
188,0.8453785650486598,0.914964829275686,0.0625,0.08333333333333333,4,0,10,1.0,0.032902247435887697
189,0.6366197723675814,0.914964829275686,0.08333333333333333,0.16666666666666666,2,0,10,1.0,0.03363997738554486
190,0.914964829275686,0.9845510935027122,0.0,0.020833333333333332,4,0,10,0.0,0.033441156535456554
191,0.914964829275686,0.9497579613891991,0.020833333333333332,0.03125,5,0,10,0.3,0.03320689882324719
192,0.914964829275686,0.9497579613891991,0.03125,0.041666666666666664,5,1,20,0.85,0.032757717716730195
193,0.9497579613891991,0.9845510935027122,0.020833333333333332,0.03125,5,0,10,0.3,0.03385286823026822
194,0.9497579613891991,0.9845510935027122,0.03125,0.041666666666666664,5,1,20,0.95,0.03329043497522103
195,0.9845510935027122,1.0541373577297384,0.0,0.020833333333333332,4,0,10,0.0,0.03357340905304354
196,0.9845510935027122,1.0193442256162253,0.020833333333333332,0.03125,5,0,10,0.2,0.032829397957454036
197,0.9845510935027122,1.0193442256162253,0.03125,0.041666666666666664,5,1,20,0.9,0.033670509750638386
198,1.0193442256162253,1.0541373577297384,0.020833333333333332,0.03125,5,0,10,0.5,0.03247424490376432
199,1.0193442256162253,1.0541373577297384,0.03125,0.041666666666666664,5,1,20,1.0,0.03237862995869272
200,0.914964829275686,1.0541373577297384,0.041666666666666664,0.08333333333333333,3,0,10,1.0,0.03319231105216176
201,1.0541373577297384,1.1237236219567646,0.0,0.020833333333333332,4,0,10,0.0,0.03399307603804856
202,1.0541373577297384,1.0889304898432515,0.020833333333333332,0.03125,5,0,10,0.7,0.032271726292461375
203,1.0541373577297384,1.0889304898432515,0.03125,0.041666666666666664,5,1,20,1.0,0.032662410605970284
204,1.0889304898432515,1.1237236219567646,0.020833333333333332,0.03125,5,0,10,0.8,0.03390246965015324
205,1.0889304898432515,1.1237236219567646,0.03125,0.041666666666666664,5,1,20,1.0,0.03324209545778293
206,1.1237236219567646,1.1933098861837907,0.0,0.020833333333333332,4,0,10,0.0,0.03294566509018047
207,1.1237236219567646,1.1585167540702777,0.020833333333333332,0.03125,5,1,20,0.95,0.03311928589636402
208,1.1237236219567646,1.1585167540702777,0.03125,0.041666666666666664,5,1,20,1.0,0.03351914471300614
209,1.1585167540702777,1.1933098861837907,0.020833333333333332,0.03125,5,1,20,0.8,0.03289723918359486
210,1.1585167540702777,1.1933098861837907,0.03125,0.041666666666666664,5,0,10,1.0,0.033371954620440736
211,1.0541373577297384,1.1933098861837907,0.041666666666666664,0.08333333333333333,3,0,10,1.0,0.033096324926306875
212,0.914964829275686,1.1933098861837907,0.08333333333333333,0.16666666666666666,2,0,10,1.0,0.03356456065896775
213,0.6366197723675814,1.1933098861837907,0.16666666666666666,0.3333333333333333,1,0,10,1.0,0.03370093978294551
214,1.1933098861837907,1.2628961504108167,0.0,0.020833333333333332,4,0,10,0.0,0.03322192117676481
215,1.1933098861837907,1.2281030182973036,0.020833333333333332,0.03125,5,1,20,0.8,0.033003859164933896
216,1.1933098861837907,1.2281030182973036,0.03125,0.041666666666666664,5,0,10,1.0,0.03253852667286576
217,1.2281030182973036,1.2628961504108167,0.020833333333333332,0.03125,5,1,20,0.9,0.03310825571405775
218,1.2281030182973036,1.2628961504108167,0.03125,0.041666666666666664,5,0,10,1.0,0.032925129709068975
219,1.2628961504108167,1.332482414637843,0.0,0.020833333333333332,4,0,10,0.0,0.03285269211005588
220,1.2628961504108167,1.2976892825243298,0.020833333333333332,0.03125,5,1,20,0.9,0.03264524027923913
221,1.2628961504108167,1.2976892825243298,0.03125,0.041666666666666664,5,0,10,1.0,0.033769778433108695
222,1.2976892825243298,1.332482414637843,0.020833333333333332,0.03125,5,1,20,1.0,0.033158608085973346
223,1.2976892825243298,1.332482414637843,0.03125,0.041666666666666664,5,0,10,1.0,0.033472999708617654
224,1.1933098861837907,1.332482414637843,0.041666666666666664,0.08333333333333333,3,0,10,1.0,0.03309165298519844
225,1.332482414637843,1.402068678864869,0.0,0.020833333333333332,4,0,10,0.0,0.03303162634044636
226,1.332482414637843,1.367275546751356,0.020833333333333332,0.03125,5,1,20,0.85,0.03282949356918624
227,1.332482414637843,1.367275546751356,0.03125,0.041666666666666664,5,0,10,1.0,0.032736138509205426
228,1.367275546751356,1.402068678864869,0.020833333333333332,0.03125,5,1,20,1.0,0.03329846273194668
229,1.367275546751356,1.402068678864869,0.03125,0.041666666666666664,5,0,10,1.0,0.03274675923110416
230,1.402068678864869,1.4716549430918953,0.0,0.020833333333333332,4,0,10,0.0,0.03379593210368364
231,1.402068678864869,1.4368618109783822,0.020833333333333332,0.03125,5,1,20,0.95,0.0330799213091825
232,1.402068678864869,1.4368618109783822,0.03125,0.041666666666666664,5,0,10,1.0,0.03369943076883634
233,1.4368618109783822,1.4716549430918953,0.020833333333333332,0.03125,5,1,20,0.95,0.033338210716579206
234,1.4368618109783822,1.4716549430918953,0.03125,0.041666666666666664,5,0,10,1.0,0.033110471661441085
235,1.332482414637843,1.4716549430918953,0.041666666666666664,0.08333333333333333,3,0,10,1.0,0.033621193272286125
236,1.1933098861837907,1.4716549430918953,0.08333333333333333,0.16666666666666666,2,0,10,1.0,0.032616538870378665
